phi_deg,phi_wall,N_esc_P,N_esc_A,ratio,ratio_over_phi_deg
1.0,1.0,80,80,1.0,1.0
1.0,1.5,80,79,0.9875,0.9875
1.0,1.75,80,79,0.9875,0.9875
1.0,2.0,80,79,0.9875,0.9875
1.0,2.5,80,79,0.9875,0.9875
1.5,1.0,80,114,1.425,0.95
1.5,1.5,80,113,1.4125,0.9417
1.5,1.75,80,113,1.4125,0.9417
1.5,2.0,80,113,1.4125,0.9417
1.5,2.5,80,113,1.4125,0.9417
2.0,1.0,80,155,1.9375,0.9688
2.0,1.5,80,154,1.925,0.9625
2.0,1.75,80,154,1.925,0.9625
2.0,2.0,80,154,1.925,0.9625
2.0,2.5,80,154,1.925,0.9625
2.5,1.0,80,196,2.45,0.98
2.5,1.5,80,195,2.4375,0.975
2.5,1.75,80,195,2.4375,0.975
2.5,2.0,80,195,2.4375,0.975
2.5,2.5,80,195,2.4375,0.975
3.0,1.0,80,239,2.9875,0.9958
3.0,1.5,80,237,2.9625,0.9875
3.0,1.75,80,237,2.9625,0.9875
3.0,2.0,80,236,2.95,0.9833
3.0,2.5,80,236,2.95,0.9833
