alpha,state,d_um,escape_pct_mean,escape_pct_sd,n_replicates,trials_per_rep,source
0.0,autoclaved,3.0,86.2,8.5,20,25,rerun Table-6 seeds
0.0,autoclaved,10.0,87.0,5.0,20,25,rerun Table-6 seeds
0.0,autoclaved,50.0,78.2,9.7,20,25,rerun Table-6 seeds
0.0,pristine,3.0,87.6,7.4,20,25,rerun Table-6 seeds
0.0,pristine,10.0,87.6,5.0,20,25,rerun Table-6 seeds
0.0,pristine,50.0,79.4,9.8,20,25,rerun Table-6 seeds
0.35,autoclaved,3.0,86.2,8.5,20,25,B_replicates.csv (identical config)
0.35,autoclaved,10.0,87.0,5.0,20,25,B_replicates.csv (identical config)
0.35,autoclaved,50.0,75.6,10.4,20,25,B_replicates.csv (identical config)
0.35,pristine,3.0,87.6,7.4,20,25,B_replicates.csv (identical config)
0.35,pristine,10.0,87.0,5.0,20,25,B_replicates.csv (identical config)
0.35,pristine,50.0,77.0,9.9,20,25,B_replicates.csv (identical config)
0.5,autoclaved,3.0,86.2,8.5,20,25,rerun Table-6 seeds
0.5,autoclaved,10.0,86.6,5.4,20,25,rerun Table-6 seeds
0.5,autoclaved,50.0,74.2,10.4,20,25,rerun Table-6 seeds
0.5,pristine,3.0,87.6,7.4,20,25,rerun Table-6 seeds
0.5,pristine,10.0,87.0,5.0,20,25,rerun Table-6 seeds
0.5,pristine,50.0,76.2,10.7,20,25,rerun Table-6 seeds
1.0,autoclaved,3.0,86.2,8.5,20,25,rerun Table-6 seeds
1.0,autoclaved,10.0,86.6,5.4,20,25,rerun Table-6 seeds
1.0,autoclaved,50.0,72.6,10.9,20,25,rerun Table-6 seeds
1.0,pristine,3.0,87.6,7.4,20,25,rerun Table-6 seeds
1.0,pristine,10.0,86.6,5.4,20,25,rerun Table-6 seeds
1.0,pristine,50.0,73.4,11.0,20,25,rerun Table-6 seeds
