delta_w_um,geom_fraction_2dw_over_W,d_um,escape_pct_mean,escape_pct_sd,retention_pct_mean,prediction_pct_if_Pcap1
100,0.05,3.0,96.8,3.3,3.2,5.0
100,0.05,10.0,95.4,4.0,4.6,5.0
100,0.05,50.0,81.2,10.9,18.8,5.0
200,0.1,3.0,92.4,5.3,7.6,10.0
200,0.1,10.0,90.4,4.6,9.6,10.0
200,0.1,50.0,79.2,10.5,20.8,10.0
300,0.15,3.0,87.6,7.4,12.4,15.0
300,0.15,10.0,87.0,5.0,13.0,15.0
300,0.15,50.0,77.0,9.9,23.0,15.0
500,0.25,3.0,82.2,8.9,17.8,25.0
500,0.25,10.0,78.4,8.5,21.6,25.0
500,0.25,50.0,69.4,10.6,30.6,25.0
1000,0.5,3.0,69.6,8.7,30.4,50.0
1000,0.5,10.0,65.2,10.1,34.8,50.0
1000,0.5,50.0,52.4,12.4,47.6,50.0
